area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate
4,Lincoln Square,71352328.24,36624.60308,2005,46881,4.276785905,2.708508968,17,3.4,10.9,8.2,13.4,25.5,37524,0.18,0.06,0.62,0.1,0.04,8,-2.708508968,-0.568507671,1,23,63,41,109,616,86,375,2,21,203,0,2,200,9,0,13,33,0,7,2,8,191,0.0000213,0.000490604,0.001343828,0.000874555,0.002325036,0.013139651,0.001834432,0.007998976,0.0000427,0.000447943,0.004330112,0,0.0000427,0.004266121,0.000191975,0,0.000277298,0.00070391,0,0.000149314,0.0000427,0.000170645,0.004074145
11,Jefferson Park,64868161.68,44011.95717,1062,27934,3.801818572,1.901670456,25,2.7,8.6,12.4,13.4,35.5,27751,0.21,0.01,0.67,0.09,0.02,3,-1.901670456,0.023977324,1,9,18,28,58,265,49,199,1,8,123,0,0,130,4,1,6,23,0,7,0,9,123,0.0000358,0.000322188,0.000644376,0.001002363,0.002076323,0.009486647,0.001754135,0.007123935,0.0000358,0.000286389,0.004403236,0,0,0.004653827,0.000143195,0.0000358,0.000214792,0.000823369,0,0.000250591,0,0.000322188,0.004403236
12,Forest Glen,89130893.64,74493.8216,549,18568,2.956699698,3.051701307,11,1.1,7.5,6.8,4.9,40.5,44164,0.13,0.01,0.73,0.1,0.03,6,-3.051701307,0.513679743,0,3,8,11,47,158,25,77,1,6,71,0,0,59,4,0,3,6,0,2,0,1,67,0,0.000161568,0.000430849,0.000592417,0.002531237,0.008509263,0.001346402,0.004146919,0.0000539,0.000323137,0.003823783,0,0,0.00317751,0.000215424,0,0.000161568,0.000323137,0,0.000107712,0,0.0000539,0.003608358
16,Irving Park,89611382.31,49083.22409,3013,55174,5.460905499,1.022807002,34,6.3,13.1,10,22.4,31.6,27249,0.43,0.03,0.43,0.08,0.03,7,-1.022807002,-1.028732777,2,14,112,95,209,809,194,539,11,28,215,1,3,395,14,1,33,29,2,19,2,7,279,0.0000362,0.000253743,0.002029942,0.001721825,0.003788016,0.014662703,0.003516149,0.009769094,0.000199369,0.000507485,0.003896763,0.0000181,0.0000544,0.007159169,0.000253743,0.0000181,0.000598108,0.00052561,0.0000362,0.000344365,0.0000362,0.000126871,0.00505673
2,West Ridge,98429094.86,43020.68946,3598,75185,4.785529028,0.276758283,46,7.8,17.2,8.8,20.8,38.5,23040,0.2,0.13,0.41,0.21,0.04,4,-0.276758283,-0.976438999,2,21,115,115,193,915,191,719,1,33,269,0,1,485,23,2,30,52,1,28,4,15,383,0.0000266,0.000279311,0.00152956,0.00152956,0.002567001,0.012169981,0.0025404,0.009563078,0.0000133,0.000438917,0.003577841,0,0.0000133,0.006450755,0.000305912,0.0000266,0.000399016,0.000691627,0.0000133,0.000372415,0.0000532,0.000199508,0.005094101
21,Avondale,55290595.47,34261.9334,2348,33327,7.045338614,0.479773223,42,6,15.3,9.2,24.7,31,20039,0.63,0.02,0.3,0.03,0.03,4,-0.479773223,-1.043160081,2,22,109,87,146,673,123,401,8,25,181,1,0,311,14,0,20,23,0,14,0,3,185,0.00006,0.000660125,0.003270621,0.002610496,0.004380832,0.020193837,0.003690701,0.012032286,0.000240046,0.000750143,0.005431032,0.00003,0,0.009331773,0.00042008,0,0.000600114,0.000690131,0,0.00042008,0,0.00009,0.005551055
22,Logan Square,100057566.7,49213.42175,5073,77219,6.569626646,1.99082303,23,3.2,16.8,8.2,14.8,26.2,31908,0.44,0.06,0.45,0.03,0.02,6,-1.99082303,-0.36055547,5,29,262,168,320,1800,255,798,7,47,349,1,0,525,35,0,34,60,0,18,6,13,341,0.0000648,0.000375555,0.003392947,0.00217563,0.004144058,0.023310325,0.003302296,0.010334244,0.0000907,0.000608658,0.004519613,0.000013,0,0.006798845,0.000453256,0,0.000440306,0.000777011,0,0.000233103,0.0000777,0.000168352,0.004416012
24,West Town,127562904.6,55203.7187,8331,84660,9.840538625,3.045192242,10,2.3,14.7,6.6,12.9,21.7,43198,0.26,0.14,0.53,0.03,0.03,6,-3.045192242,-0.419294119,7,57,425,262,652,3103,440,1141,7,77,554,2,1,890,50,2,25,76,0,34,14,12,500,0.0000827,0.000673281,0.00502008,0.003094732,0.007701394,0.036652492,0.00519726,0.013477439,0.0000827,0.00090952,0.006543822,0.0000236,0.0000118,0.010512639,0.000590598,0.0000236,0.000295299,0.000897708,0,0.000401606,0.000165367,0.000141743,0.005905977
3,Uptown,65095642.73,46972.79455,3567,54001,6.605433233,2.197739601,20,3.8,24,8.9,11.8,22.2,35787,0.16,0.19,0.51,0.11,0.03,3,-2.197739601,-0.299936712,5,48,103,153,160,968,105,786,1,31,370,1,0,318,23,1,29,70,0,18,3,36,338,0.0000926,0.000888872,0.001907372,0.002833281,0.002962908,0.017925594,0.001944408,0.014555286,0.0000185,0.000574063,0.006851725,0.0000185,0,0.00588878,0.000425918,0.0000185,0.000537027,0.001296272,0,0.000333327,0.0000556,0.000666654,0.006259143
10,Norwood Park,121959105.5,80368.37438,1108,32589,3.399920218,2.516020298,21,2,5.4,9,11.5,39.5,32875,0.11,0,0.83,0.03,0.02,4,-2.516020298,0.022646964,1,11,14,19,70,260,32,235,1,8,140,2,0,138,4,2,11,17,0,9,0,3,131,0.0000307,0.000337537,0.000429593,0.000583019,0.002147964,0.007978152,0.000981926,0.007211022,0.0000307,0.000245482,0.004295928,0.0000614,0,0.004234558,0.000122741,0.0000614,0.000337537,0.000521648,0,0.000276167,0,0.0000921,0.004019761
