area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26
37,Fuller Park,19916704.87,25339.08975,880,3220,27.32919255,-3.380054235,97,3.2,51.2,33.9,26.6,44.9,10432,0.4,0.39,0.21,0,0,6,3.380054235,1.99431932,2,2,59,63,22,210,42,180,2,8,42,0,0,88,25,0,3,34,0,10,0,10,78
25,Austin,199254203.4,75226.47492,15408,97604,15.78623827,-1.763058543,73,6.3,28.6,22.6,24.4,37.9,15957,0.17,0.75,0.07,0.01,0.01,6,1.763058543,0.296497345,82,108,831,1050,522,2144,729,3497,23,78,751,3,4,1669,450,172,69,1461,23,106,10,201,1425
26,West Garfield Park,36092848.82,26238.54198,5371,20146,26.66037923,-3.261458635,92,9.4,41.7,25.8,24.5,43.6,10934,0.02,0.95,0.02,0,0,4,3.261458635,0.411619842,14,30,310,398,134,583,214,1120,10,17,172,0,1,496,147,142,18,991,18,26,4,81,445
29,North Lawndale,89487422.02,44959.45966,9081,36529,24.85970051,-2.782067537,87,7.4,43.1,21.2,27.6,42.7,12034,0.22,0.66,0.09,0.02,0.01,6,2.782067537,0.331972003,43,65,392,667,266,966,361,2000,17,30,243,0,1,840,364,20,29,1649,23,60,3,131,911
30,South Lawndale,127998297.9,49904.04521,4545,64000,7.1015625,-3.344631195,96,15.2,30.7,15.8,54.8,33.8,10402,0.77,0.15,0.06,0.02,0.01,6,3.344631195,-3.065699577,7,46,210,314,193,852,247,1023,12,22,125,0,0,570,146,3,48,177,1,47,11,58,433
45,Avalon Park,34852737.74,27630.82253,1287,7033,18.29944547,-0.067191035,41,1.4,17.2,21.1,10.6,39.3,24454,0.02,0.97,0.01,0,0.01,6,0.067191035,1.546814561,4,11,65,73,77,242,58,326,5,7,73,0,0,150,25,0,10,15,0,9,0,12,125
59,McKinley Park,39431799.65,26014.09684,1052,13778,7.63536072,-0.896303177,61,7.2,18.7,13.4,32.9,35.6,16954,0.59,0.01,0.17,0.22,0.02,5,0.896303177,-1.083737135,4,7,44,37,74,235,50,186,3,5,56,1,0,153,17,3,2,66,0,5,1,9,94
49,Roseland,134313706.7,56632.79543,6958,41498,16.76707311,-0.778169513,52,2.5,19.8,20.3,16.9,41.2,17949,0.04,0.93,0.01,0,0.01,8,0.778169513,1.1342448,36,47,331,423,406,1014,254,1643,22,33,311,0,2,918,189,52,19,297,8,66,1,91,795
50,Pullman,59001555.6,35572.06951,1098,8359,13.13554253,-0.555079401,51,1.5,21.6,22.8,13.1,38.6,20588,0.01,0.96,0.02,0.01,0.01,4,0.555079401,1.56393671,1,6,29,37,49,280,49,233,0,6,45,1,1,110,36,1,3,33,0,17,0,21,140
51,South Deering,303797059.7,80389.8718,1755,11555,15.1882302,-1.159222007,65,4,29.2,16.3,21,39.5,14685,0.28,0.6,0.1,0,0.02,7,1.159222007,0.539447069,7,9,50,111,64,396,75,406,3,16,84,0,0,198,53,0,4,54,0,27,1,12,185
